Order_ID,Gender_Category,Product_Category,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Order_Date,Sales_Channel,Region,Revenue
2000,Kids,Training,SuperRep Go,M,3,4957.93,0.47,2024-03-09,Online,Bengaluru,7883.108700000001
2001,Women,Soccer,Tiempo Legend,M,3,4957.93,0.0,2024-07-09,Retail,Hyderabad,14873.79
2002,Women,Soccer,Premier III,M,4,9673.57,0.0,2024-07-09,Retail,Mumbai,38694.28
2003,Kids,Lifestyle,Blazer Mid,L,1,9673.57,0.0,2024-10-04,Online,Pune,9673.57
2004,Kids,Running,React Infinity,XL,1,7363.96,0.0,2024-09-12,Retail,Delhi,7363.96
2005,Women,Training,Flex Trainer,M,1,7363.96,0.0,2024-09-12,Retail,Delhi,7363.96
2006,Men,Training,SuperRep Go,M,1,6819.78,0.0,2025-06-04,Online,Bengaluru,6819.78
2007,Kids,Training,SuperRep Go,M,1,7949.83,0.32,2025-06-04,Retail,Bengaluru,5405.884399999999
2008,Women,Soccer,Premier III,11,1,7949.83,0.0,2024-10-11,Online,Hyderabad,7949.83
2009,Men,Soccer,Mercurial Superfly,M,4,7949.83,0.0,2024-10-11,Online,Pune,31799.32
2010,Kids,Lifestyle,Waffle One,L,1,7949.83,0.0,2025-01-16,Online,Pune,7949.83
2011,Women,Training,Flex Trainer,L,1,9586.08,0.0,2025-01-16,Retail,Hyderabad,9586.08
2018,Kids,Lifestyle,Blazer Mid,L,1,9671.05,0.86,2024-11-13,Online,Delhi,1353.9470000000001
2013,Kids,Training,SuperRep Go,L,1,9671.05,0.0,2024-09-19,Online,Hyderabad,9671.05
2014,Women,Running,React Infinity,11,1,3285.52,0.0,2025-04-12,Online,Bengaluru,3285.52
2015,Kids,Basketball,Air Jordan,11,1,3285.52,0.0,2025-05-31,Retail,Kolkata,3285.52
2016,Women,Basketball,Air Jordan,M,1,9871.75,0.3,2025-05-31,Retail,Hyderabad,6910.224999999999
2017,Women,Basketball,Air Jordan,9,4,3424.06,0.0,2025-03-17,Retail,Delhi,13696.24
2018,Men,Training,Metcon 7,XL,0,3424.06,1.17,2025-03-17,Online,Bengaluru,-0.0
2019,Kids,Running,Air Zoom,6,0,3424.06,0.32,2025-01-17,Online,Hyderabad,0.0
2020,Kids,Soccer,Tiempo Legend,L,1,7086.7,0.67,2025-03-28,Retail,Mumbai,2338.611
2021,Men,Running,Free RN,L,1,7086.7,0.66,2024-11-19,Retail,Hyderabad,2409.4779999999996
2022,Women,Soccer,Premier III,M,0,5003.95,0.0,2024-09-24,Online,Pune,0.0
2023,Men,Lifestyle,Waffle One,M,0,5003.95,0.0,2025-01-10,Online,Mumbai,0.0
2024,Kids,Training,SuperRep Go,XL,0,9820.5,0.5,2024-12-28,Retail,Bengaluru,0.0
2025,Women,Basketball,Kyrie Flytrap,M,3,9820.5,0.0,2024-12-28,Retail,Mumbai,29461.5
2026,Kids,Lifestyle,Blazer Mid,XL,1,3270.23,0.16,2024-08-10,Retail,Kolkata,2746.9932
2027,Men,Basketball,Zoom Freak,XL,0,3270.23,0.22,2024-08-10,Online,Pune,0.0
2028,Men,Training,Flex Trainer,12,0,3270.23,0.0,2024-08-10,Retail,Delhi,0.0
2029,Men,Training,ZoomX Invincible,12,0,3493.04,0.0,2023-10-28,Online,Bengaluru,0.0
2030,Men,Soccer,Phantom GT,XL,4,3493.04,1.05,2025-07-14,Retail,Hyderabad,-698.6080000000006
2031,Men,Soccer,Premier III,XL,4,3493.04,0.82,2024-05-09,Online,Delhi,2514.9888000000005
2032,Women,Lifestyle,Blazer Mid,XL,1,6235.71,1.07,2025-04-11,Retail,Mumbai,-436.4997000000004
2033,Men,Soccer,Mercurial Superfly,XL,1,6235.71,0.0,2025-04-11,Retail,Kolkata,6235.71
2034,Men,Basketball,Air Jordan,6,4,6235.71,0.0,2025-04-30,Retail,Delhi,24942.84
2035,Kids,Basketball,Zoom Freak,6,4,5653.14,0.38,2024-11-17,Online,Bengaluru,14019.7872
2036,Men,Training,Metcon 7,6,3,5653.14,0.0,2025-02-15,Retail,Bengaluru,16959.420000000002
2037,Kids,Running,Pegasus Turbo,7,3,5653.14,1.01,2025-02-15,Retail,Pune,-169.59420000000017
2038,Kids,Running,Free RN,7,0,2767.7,0.83,2025-02-15,Online,Delhi,0.0
2039,Women,Training,Flex Trainer,M,3,2767.7,0.63,2025-04-22,Retail,Hyderabad,3072.1469999999995
2002,Women,Basketball,Zoom Freak,XL,3,5075.22,0.0,2025-03-07,Retail,Delhi,15225.66
2041,Kids,Soccer,Tiempo Legend,12,4,5553.88,0.0,2025-03-05,Online,Hyderabad,22215.52
2042,Women,Basketball,Kyrie Flytrap,L,4,3492.89,0.0,2025-04-19,Online,Hyderabad,13971.56
2043,Men,Soccer,Premier III,XL,4,3492.89,0.77,2024-05-02,Retail,Delhi,3213.4587999999994
2044,Kids,Training,SuperRep Go,XL,4,8577.75,0.0,2023-09-06,Online,Delhi,34311.0
2045,Kids,Lifestyle,Dunk Low,XL,4,8577.75,0.0,2025-04-06,Retail,Delhi,34311.0
2046,Kids,Running,Air Zoom,12,1,8577.75,1.04,2025-04-06,Online,Kolkata,-343.1100000000003
2047,Women,Training,SuperRep Go,10,1,8577.75,0.0,2024-06-13,Retail,Bengaluru,8577.75
2048,Women,Basketball,Air Jordan,XL,1,7767.2,0.0,2024-10-27,Online,Bengaluru,7767.2
2049,Kids,Soccer,Tiempo Legend,L,1,7767.2,0.0,2024-10-27,Retail,Pune,7767.2
2050,Men,Running,Air Zoom,L,1,9155.96,0.57,2024-10-27,Retail,Kolkata,3937.0628
2051,Women,Basketball,Air Jordan,XL,3,9155.96,0.37,2024-01-05,Retail,Delhi,17304.7644
2052,Men,Training,Flex Trainer,10,3,9155.96,0.0,2024-10-08,Retail,Pune,27467.879999999997
2053,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.0,2024-10-02,Online,Delhi,18028.739999999998
2054,Women,Training,Flex Trainer,11,1,6216.29,0.0,2025-06-23,Online,Mumbai,6216.29
2055,Men,Basketball,Kyrie Flytrap,L,3,6216.29,0.0,2024-10-26,Online,Hyderabad,18648.87
2056,Men,Running,React Infinity,L,3,6216.29,0.0,2024-05-31,Retail,Bengaluru,18648.87
2048,Men,Lifestyle,Waffle One,M,3,6216.29,0.94,2024-09-14,Online,Mumbai,1118.9322000000009
2058,Women,Training,Flex Trainer,11,1,4985.92,0.0,2024-09-14,Online,Kolkata,4985.92
2059,Kids,Soccer,Phantom GT,11,1,9507.54,0.0,2023-12-27,Retail,Delhi,9507.54
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.0,2024-07-11,Online,Bengaluru,15958.52
2061,Women,Basketball,LeBron 20,L,2,9751.0,0.0,2024-09-10,Online,Mumbai,19502.0
2062,Men,Basketball,Air Jordan,L,2,9751.0,0.0,2025-06-06,Online,Bengaluru,19502.0
2063,Women,Basketball,Air Jordan,M,1,9751.0,0.16,2024-09-06,Retail,Pune,8190.84
2064,Kids,Running,React Infinity,L,2,7557.71,0.0,2025-03-02,Online,Bengaluru,15115.42
2065,Women,Lifestyle,Waffle One,10,1,5259.05,0.78,2024-02-11,Retail,Hyderabad,1156.991
2066,Men,Soccer,Phantom GT,XL,1,5259.05,0.0,2024-12-10,Online,Mumbai,5259.05
2067,Kids,Basketball,LeBron 20,L,4,3588.38,0.0,2025-05-06,Online,Kolkata,14353.52
2068,Men,Running,Free RN,L,4,2553.29,0.0,2024-12-05,Retail,Mumbai,10213.16
2069,Women,Training,SuperRep Go,L,3,7502.24,0.0,2025-07-14,Online,Pune,22506.72
2070,Kids,Running,React Infinity,L,3,7849.81,0.0,2025-07-14,Retail,Mumbai,23549.43
2071,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,2025-01-12,Retail,Pune,12010.2093
